Blog	fit	songwriter	size	needed	nature	crowd	bottom	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	era	production	ended	tomorrow	caught	food	evening	obviously	similar	although	camera	meet	including	university	key	http	beats	met	movies	personal	father	fuck	themselves	label	august	zero	acts	chart	entire	hair	excellent	detroit	figure	jazz	cast	focus	store	solo	sonic	questions	nick	meaning	g	april	twitter	theme	score	type	current	date	data	definitions	padding	twin	acoustic	act	imagine	relationship	sex	rose	points	clearly	edition	drum	co	cm	ca	tstyle	cd	moments	kept	minor	december	hall	el	en	ep	recorded	genre	liked	gt	download	click	ben	bed	parker	anyway	vinyl	loud	near	www	language	bowie	audience	field	deluxe	starting	titled	search	throughout	create	understand	bill	excited	per	groove	national	center	buy	several	christmas	ok	melody	smith	fucking	brain	table	k	worked	previous	brought	son	support	awesome	hop	debut	johnny	continue	un	uk	decade	meant	player	interview	inspired	welcome	rhythm	happen	british	floor	rules	wolf	instrumental	history	cave	sounded	win	stories	whose	features	subject	san	mouse	human	character	text	latin	nearly	general	members	para	recording	fans	matt	onto	hearing	plus	copy	unfortunately	ideas	alt	v	expect	hotel	wanna	river	wall	whether	beauty	busy	result	asked	success	tune	slightly	films	beatles	complete	certain	van	elements	produced	included	indie	business	area	aren	building	february	college	singing	becomes	mentioned	coast	overall	orphan	career	began	effect	starts	bar	jones	main	voices	among	collection	mention	bear	alive	metal	ray	cambria	longer	quick	sessions	stream	review	archive	hip	various	became	women	pure	lead	june	golden	service	singer	dave	shadow	begin	choice	internet	wants	ascii	series	november	followed	land	process	length	jam	web	electronic	amount	musical	peel	non	vocals	america	verse	using	beyond	station	feels	culture	chris	popular	michael	ryan	tunes	widow	hits	parts	north	likely	recordings	fantastic	seven	somehow	round	visit	drummer	images	sitting	facebook	absolutely	epic	planet	access	despite	que	brother	october	saturday	news	level	featuring	musicians	folk	feat	bought	perhaps	difficult	straight	episode	possible	possibly	unique	team	spot	industry	image	content	section	pick	action	archives	information	w	session	synth	recent	link	led	lee	standing	doubt	sister	hansi	thoughts	dr	indeed	entirely	okay	mostly	ground	concert	media	site	fully	bass	towards	seeing	himself	classic	shit	digital	effort	question	margin	totally	drums	material	include	pay	spend	giving	enjoyed	pagination	lo	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	joe	events	easily	september	added	recently	pt	due	pm	mountain	built	steve	particularly	january	guitarist	example	desire	brilliant	large	magic	system	listened	ghost	total	south	loved	brothers	certainly	presented	usually	truly	cannot	los	issue	wonderful	damn	noise	perfectly	jeff	immediately	peter	phone	important	f	apparently	mid	mix	add	jack	plenty	approach	games	quickly	gig	based	happened	gives	releases	ya	missed	underground	birthday	remix	july	piano	mike	present	boston	season	punk	bandcamp	via	soundtrack	major	vocal	familiar	lucky	eventually	guitars	title	heaven	event	albums	plays	control	quality	playlist	broadcast	definitely	lyrics	lake	theatre	normal	parent	particular	dj	dad	dan	soft	created	venue	changed	changes	driving	earlier	font	closer	simply
A Wife's Tale	10	0	3	14	6	4	1	35	0	2	27	4	5	1	1	0	0	15	3	1	5	0	0	9	43	12	31	5	15	4	2	10	14	7	6	2	2	3	18	6	8	40	0	5	0	7	176	1	1	26	11	6	1	2	1	1	4	6	0	0	13	0	6	0	2	0	0	5	7	5	17	1	0	0	0	0	2	36	20	1	1	4	0	1	0	2	10	6	0	1	24	11	3	3	1	0	0	0	0	1	4	0	0	3	3	20	0	87	1	3	4	2	3	0	0	4	0	15	0	1	2	0	15	4	28	18	0	1	7	14	18	15	3	1	0	0	10	4	2	10	3	8	15	16	76	3	1	1	10	0	0	0	4	0	11	2	6	1	26	8	9	0	0	0	8	0	1	2	8	1	1	3	0	1	11	4	0	0	11	5	8	0	2	1	3	7	7	1	2	16	2	1	3	8	6	14	6	0	2	3	26	1	21	2	1	1	0	2	5	7	0	0	1	1	0	7	10	14	2	5	32	0	6	5	3	6	0	7	13	3	5	2	0	3	0	3	0	18	4	10	1	2	0	10	5	0	0	2	0	4	10	7	15	6	5	5	2	4	2	2	2	20	5	7	19	0	6	2	3	1	3	4	0	0	0	14	0	0	8	0	2	1	4	10	5	16	4	1	2	0	23	0	2	3	9	6	4	0	2	2	4	14	22	0	2	24	14	22	46	7	2	2	1	26	4	17	21	8	1	1	0	1	18	22	9	7	2	9	16	0	6	10	0	5	2	5	5	4	0	6	0	0	0	7	2	7	1	2	5	25	0	9	2	9	4	28	16	4	2	3	0	7	0	0	13	16	1	0	1	1	8	0	7	0	3	5	27	24	18	8	0	0	1	0	4	1	0	41	5	27	0	2	1	6	2	4	4	14	5	19	10	3	1	0	7	5	0	13	6	1	11	3	7	0	1	3	14	35	6	13	0	6	31	31	0	3	51	3	0	6	1	12	3	34	24	5	29	1	3	12	4	4	0	3	11	1	1	22	8	0	23	11	2	20	0	9	1	0	4	0	1	2	0	2	0	3	2	1	16	11	0	1	5	2	0	4	10	2	0	0	18	1	8	0	14	3	8	0	7	15	4	4	3	23	8	5	8	0	16	6
Karl Drinkwater	2	0	0	0	0	0	2	0	0	1	9	4	0	1	1	0	0	27	2	0	4	0	0	1	0	0	3	5	1	2	7	0	1	8	4	3	0	0	1	2	8	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	5	3	4	7	0	17	0	2	1	1	3	1	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	2	0	3	1	0	1	0	0	0	0	4	0	0	2	3	0	2	0	5	0	0	2	1	8	0	2	0	0	0	0	2	3	6	0	0	1	3	0	4	0	2	0	1	1	0	0	0	0	2	0	2	2	1	0	1	0	0	0	4	4	0	11	0	7	0	4	0	4	0	1	0	0	0	0	0	0	0	0	2	38	0	2	1	0	0	8	11	8	0	1	3	0	0	1	5	0	2	0	4	2	1	4	0	0	0	1	0	0	1	0	0	1	3	3	1	2	3	6	0	0	0	0	4	0	5	1	1	1	1	2	0	4	0	0	3	0	1	0	1	2	3	1	0	0	10	2	0	19	1	0	0	0	0	0	1	2	2	0	4	0	0	8	5	0	0	1	0	0	0	0	0	0	1	1	1	0	0	3	4	1	1	3	4	0	2	1	3	0	0	1	0	0	0	4	0	0	1	0	1	2	0	0	11	0	1	2	0	1	0	2	1	0	1	3	0	1	0	17	0	0	1	0	6	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	6	2	0	1	5	1	4	1	2	1	0	0	2	0	1	0	2	1	3	0	0	3	0	0	2	0	0	2	3	2	0	0	1	5	1	1	1	0	1	1	0	1	1	4	0	5	1	0	4	6	2	3	2	0	0	0	0	2	0	0	2	0	0	0	1	0	5	1	0	0	8	1	0	0	0	2	0	1	0	0	4	1	0	5	1	5	0	2	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	2	1	1	4	1	0	0	4	6	0	0	3	7	1	0	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	2	0	1	1	2	0	7	0	7	1	1	0	3	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	3	2	0	1	0	0	1
ΜΕΣΑ ΣΤΗ ΒΡΩΜΙΑ	0	0	3	0	1	0	2	0	0	8	0	0	7	29	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	2	30	4	0	0	1	1	1	0	0	0	2	1	0	0	4	0	2	0	29	0	1	0	4	12	0	20	0	8	1	0	24	0	0	0	0	0	0	0	9	1	0	0	0	4	4	1	0	1	4	0	0	0	0	0	3	0	3	1	3	7	0	5	0	0	0	4	28	0	4	3	3	0	5	0	1	50	1	21	0	3	0	0	0	2	0	0	0	16	0	0	3	4	2	0	2	0	0	1	12	0	2	0	54	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	2	4	1	0	2	1	2	14	4	14	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	5	0	1	2	6	1	0	3	0	0	2	0	2	0	0	1	1	3	15	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20	3	2	0	0	0	1	0	1	4	0	1	0	1	0	0	0	0	0	0	1	3	0	2	5	0	0	7	6	0	0	0	0	0	0	0	0	8	1	0	5	0	1	0	0	0	0	0	1	0	0	3	3	1	0	1	0	3	0	0	1	0	0	1	0	0	2	0	0	3	1	0	0	0	0	0	1	6	0	0	0	5	1	3	10	0	0	0	0	12	1	0	0	3	0	0	0	0	1	2	0	7	0	1	4	0	0	4	2	0	0	0	33	0	27	0	0	3	0	4	8	0	0	0	0	1	0	0	3	0	2	0	0	1	0	2	0	0	0	0	0	2	0	0	0	3	1	0	0	1	2	0	0	0	0	0	2	5	0	1	13	0	0	0	0	0	18	0	0	11	2	9	0	0	0	0	2	1	0	7	1	1	17	0	1	1	7	0	0	0	0	0	0	0	2	0	1	0	2	0	1	1	0	2	0	0	2	0	9	0	0	1	0	0	0	2	0	0	1	0	7	2	4	2	3	6	0	0	2	2	0	0	34	0	0	4	0	0	0	2	6	0	0	0	3	0	8	2	0	0	1	0	0	0	0	11	0	3	3	0	0	0	0	0	0	0	3	0
F-Measure	3	8	5	0	1	3	1	3	0	0	7	6	5	11	2	19	13	4	1	7	9	11	16	7	6	2	1	1	8	16	60	12	1	18	0	0	0	5	0	2	4	14	2	10	18	2	3	3	0	30	3	22	0	6	12	2	6	4	16	8	0	1	8	31	1	0	18	62	1	4	2	1	0	0	4	10	4	6	3	10	2	6	9	3	5	4	0	12	0	31	4	1	7	1	5	4	0	55	28	25	11	4	2	0	0	2	0	5	12	7	3	1	0	13	12	0	3	8	8	4	1	3	3	6	1	0	1	4	4	5	14	3	16	0	9	4	0	1	10	3	16	4	3	3	1	11	24	16	4	0	11	0	5	1	7	8	12	1	2	1	2	0	2	7	13	0	6	1	7	7	16	2	2	1	1	3	0	1	25	6	13	0	21	11	5	4	11	1	11	12	1	12	5	2	7	5	2	6	5	0	1	13	6	18	1	10	5	15	12	4	14	3	9	4	7	3	3	8	6	0	28	7	8	11	5	0	0	15	4	5	6	6	7	4	4	1	32	13	0	1	37	1	0	8	11	10	0	121	0	12	16	12	2	2	22	5	2	1	13	9	23	2	11	1	7	0	7	4	4	10	2	7	5	9	6	5	7	9	14	24	3	1	4	8	6	1	9	2	20	7	1	1	0	7	12	2	4	3	0	11	11	1	1	6	2	1	0	5	5	0	1	11	0	4	3	5	2	6	12	1	10	0	7	23	2	9	3	7	8	3	1	3	0	6	0	3	5	3	1	0	7	11	6	10	32	2	10	3	6	6	0	1	1	1	15	1	16	7	48	1	4	4	8	2	1	2	28	3	2	1	7	0	1	7	29	7	1	2	7	4	0	8	0	495	4	4	75	0	5	3	0	5	13	2	12	1	4	18	0	4	0	0	3	5	0	0	11	18	0	0	4	4	0	9	6	2	4	7	22	5	2	0	2	2	1	9	0	0	1	3	4	3	4	2	7	4	22	15	39	6	2	3	2	0	3	1	20	11	4	12	0	6	4	11	11	4	2	10	6	3	2	44	0	6	25	8	6	23	4	16	1	23	11	2	1	4	1	11	12	2	0	34	4	0	2	1	3	21	3	1	3	4	10	9	9	11	15	0	3	24
Cherry Area	2	1	10	8	9	1	3	7	0	1	4	4	3	0	2	0	5	1	4	1	7	3	3	3	0	2	3	7	5	7	14	2	2	9	11	3	0	0	4	0	9	6	5	4	3	1	0	2	0	3	3	1	5	3	1	4	1	2	1	0	4	0	9	4	2	0	4	2	2	3	1	5	1	1	2	0	8	3	5	1	1	5	4	0	3	4	0	0	2	0	3	2	4	2	3	0	1	0	1	2	5	2	0	1	0	8	0	7	0	2	5	0	10	4	3	2	0	2	3	2	1	8	11	4	1	1	0	2	6	0	4	1	1	1	3	2	2	7	3	6	2	5	6	4	5	1	3	1	6	1	0	1	5	7	13	3	1	4	6	2	3	0	0	0	5	0	0	8	1	11	3	8	0	0	4	1	1	2	1	4	3	4	6	1	3	3	2	0	0	1	7	1	2	1	2	0	0	4	5	7	0	7	6	5	0	1	0	0	4	10	5	1	3	1	0	3	2	8	4	2	4	4	8	4	1	0	1	4	4	10	4	4	0	1	2	10	2	0	2	5	1	2	0	8	2	1	1	2	0	1	4	3	4	1	5	2	2	3	4	2	5	2	2	2	3	2	4	0	1	2	6	1	0	0	3	2	1	0	9	4	5	9	9	1	1	7	2	4	3	6	2	0	1	1	6	2	10	0	1	4	4	0	1	0	1	5	0	5	0	0	5	5	0	5	3	1	2	12	2	4	3	0	2	13	0	2	0	6	0	1	17	1	2	2	5	2	10	6	2	8	4	1	0	12	2	3	1	3	6	3	2	10	0	3	3	0	5	2	0	0	2	5	1	5	5	13	2	18	1	4	8	4	4	2	4	1	5	3	7	4	1	0	2	0	4	0	4	2	4	8	21	2	0	2	3	1	2	7	5	2	0	3	9	2	4	0	1	3	4	5	3	1	10	1	1	0	5	2	7	5	1	5	2	4	3	9	2	3	1	0	4	3	4	4	10	0	2	2	3	4	1	3	3	6	3	1	1	5	3	0	2	3	1	0	0	2	2	5	7	0	2	1	0	0	0	4	0	1	5	4	1	4	0	1	1	2	5	3	1	2	1	3	0	0	6	1	3	3	3	2	6	2	0	2	2	1	5	10	4	8
Δίσκοι Μουσικής στο Χρόνο	0	0	66	0	2	1	22	0	1	13	0	0	0	8	1	0	2	0	42	2	0	1	0	0	2	0	2	2	0	0	0	10	1	0	0	2	0	3	0	1	0	2	7	1	1	1	2	3	0	0	0	0	1	0	11	4	1	1	0	10	0	42	0	66	2	0	0	2	2	6	0	0	22	22	4	2	3	1	0	9	1	0	0	2	0	0	66	1	44	0	0	0	0	0	10	8	5	1	0	0	0	7	0	0	1	0	2	0	1	2	1	0	70	1	1	0	0	0	1	1	0	0	0	9	0	1	6	3	1	0	0	1	0	1	14	0	2	22	8	0	0	0	11	0	1	1	1	12	0	4	7	1	0	0	1	0	2	3	1	2	3	0	3	0	4	38	0	0	9	0	0	0	1	3	2	0	0	0	0	0	1	44	0	0	8	0	0	0	0	0	0	23	3	0	6	0	4	5	0	3	0	0	0	0	1	0	2	0	1	1	22	0	0	0	0	4	1	0	0	0	1	0	0	0	1	0	22	2	0	0	1	14	8	1	1	1	0	0	6	2	3	14	0	1	0	0	0	1	16	1	151	0	2	3	0	5	7	2	1	6	8	1	1	0	0	0	0	0	0	7	1	0	3	1	0	0	0	0	0	1	5	0	0	3	2	1	4	17	0	38	3	0	22	0	1	8	0	0	1	3	0	0	1	0	2	0	0	0	0	8	1	0	0	5	0	1	0	1	1	0	0	4	0	0	0	1	0	0	0	1	1	0	0	4	0	5	0	0	0	1	10	3	0	0	2	5	14	0	0	6	0	0	11	0	0	2	1	3	1	0	0	0	0	1	0	0	0	1	1	0	0	44	0	1	3	0	0	0	0	0	22	3	0	0	0	0	4	0	0	0	264	0	19	0	0	0	0	0	89	0	0	14	2	29	0	0	0	0	3	1	0	20	14	0	12	1	7	0	19	0	0	0	0	1	3	0	1	0	11	0	6	0	36	0	0	6	0	0	0	1	11	0	0	1	1	0	0	0	0	0	0	0	12	4	0	2	10	12	6	0	3	2	0	0	4	0	0	2	2	0	0	0	10	0	0	3	1	0	0	1	0	0	7	12	13	22	0	20	0	1	14	0	0	0	1	0	0	44	0	3
the fast break of champions	4	2	2	3	1	4	2	2	0	3	2	11	0	0	2	0	1	5	0	5	4	2	0	2	1	8	2	1	1	2	12	0	2	3	0	0	0	0	2	5	4	3	51	4	0	0	0	1	0	12	7	3	1	3	4	0	1	1	11	1	0	32	3	4	2	0	4	1	8	1	2	0	1	0	5	0	8	5	3	32	1	0	1	0	4	0	0	0	0	12	3	6	0	2	3	0	2	4	5	3	9	10	2	0	3	0	1	49	1	3	3	0	1	7	9	0	1	2	0	0	3	2	1	2	0	0	0	0	0	7	4	2	21	5	3	51	8	2	3	2	1	2	5	1	7	3	1	3	1	1	0	1	6	3	8	0	0	9	6	2	3	2	1	3	7	19	8	0	3	0	1	6	0	6	5	0	0	0	5	7	4	0	3	12	0	2	1	4	3	3	2	0	0	7	3	11	0	4	0	9	4	2	3	1	7	0	4	13	1	3	3	0	1	1	1	2	2	2	1	1	1	11	4	8	0	3	0	3	0	0	5	3	2	0	9	7	4	17	0	3	1	5	0	3	3	1	0	6	2	4	5	4	6	6	6	1	6	0	11	6	1	3	7	8	2	0	2	1	1	2	3	1	8	1	5	3	15	0	2	16	2	2	10	8	1	28	0	3	1	8	0	1	0	2	4	0	0	1	2	4	9	0	0	8	2	0	1	7	2	3	0	3	0	2	2	0	3	3	0	2	0	7	3	2	0	10	1	7	0	3	1	3	0	6	0	0	14	1	0	3	0	0	0	3	2	0	4	2	2	5	0	3	2	13	2	11	5	1	13	1	0	1	19	4	1	10	0	38	0	3	2	0	7	7	1	1	2	1	2	1	0	2	10	0	0	3	3	0	2	25	0	2	0	0	7	2	3	5	1	5	1	2	3	4	3	1	2	5	0	11	1	4	1	32	4	2	3	15	1	5	0	8	1	5	0	0	3	8	8	7	7	0	5	0	1	3	13	1	0	3	17	0	2	0	2	6	2	12	5	0	0	2	5	3	4	1	8	19	3	0	0	4	0	0	13	4	0	6	2	13	3	10	10	0	21	4	1	1	2	0	5	37	1	0	3	0	12	3	0	1	5	3	1	7	1	0	4	0	4	12
Azul Valentina	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0
The Moon Topples	0	0	0	2	0	0	3	0	0	0	1	1	3	0	1	0	0	3	0	1	4	1	1	0	3	2	0	1	0	1	4	2	3	0	0	0	0	0	1	0	0	0	1	0	1	5	0	0	0	1	1	0	0	1	0	1	2	2	0	0	4	0	0	0	1	1	1	0	3	7	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	1	0	0	5	0	2	0	0	0	0	5	0	1	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	1	0	6	1	2	0	0	0	1	0	0	0	7	1	0	0	0	0	0	1	2	0	0	2	1	1	3	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	1	1	0	1	3	0	0	4	1	1	0	0	0	0	0	0	5	0	1	0	0	0	4	1	0	3	0	2	2	3	2	6	1	2	1	1	2	3	2	0	0	0	0	1	0	3	1	8	2	2	0	0	5	0	1	0	1	5	1	0	2	0	1	0	5	4	4	0	1	0	0	0	7	2	0	1	3	0	1	2	1	0	0	0	3	1	2	0	0	1	4	1	8	0	0	1	5	0	1	2	0	0	0	0	0	0	1	1	0	2	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	2	0	4	0	3	0	0	1	1	0	0	0	4	4	3	0	0	1	1	0	1	3	1	1	0	3	2	0	3	0	0	3	0	0	2	2	0	0	0	0	0	5	5	1	0	1	5	0	0	1	0	0	4	1	5	1	0	1	12	0	0	1	2	1	0	0	0	0	3	0	1	0	0	3	0	3	0	0	0	0	0	0	1	3	0	4	0	5	0	0	0	0	5	7	0	5	0	3	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	1	1	3	0	0	1	1	1	1	0	1	0	4	2	0	3	0	0	2	0	4	0	0	1	0	2	2	1	0	0	2	0	3	0	3	0	0	0	0	4	0	0	2	0	1	1	2	0	2	0	0	0	7	1	1	1	0	0	0	0	0	2	0	8	0	2	1	0	0	2	1	0	0	1	1	1	0	1	1
Encore	4	38	1	4	17	39	1	5	0	3	2	31	10	11	0	16	59	5	0	3	0	10	20	6	9	6	0	12	0	8	7	0	5	4	5	8	7	8	5	1	19	5	1	27	10	0	0	32	3	11	4	15	0	1	3	4	10	0	33	23	5	2	5	19	6	26	1	0	3	4	32	0	0	0	0	59	28	14	2	3	29	1	24	1	16	2	0	0	0	0	7	6	0	4	22	0	0	139	23	14	0	14	4	4	7	5	0	4	4	11	15	3	0	18	29	1	1	12	7	8	38	9	7	7	3	0	12	2	0	5	4	10	3	41	8	3	3	1	0	5	17	7	17	25	25	17	137	3	21	3	27	2	2	2	5	32	10	7	1	7	4	3	6	4	17	1	8	2	4	1	1	3	1	0	4	4	0	0	6	9	5	0	20	161	2	12	7	2	2	4	5	33	0	18	5	7	7	5	18	15	0	3	6	13	20	12	1	7	12	13	5	12	6	6	88	9	0	3	19	3	2	14	2	1	21	0	0	14	15	1	5	35	0	3	6	0	7	2	0	12	5	3	0	10	12	3	3	75	0	15	7	7	4	8	28	1	3	1	27	4	23	15	7	2	4	0	10	2	11	0	11	1	5	0	20	7	22	2	3	49	19	26	2	12	0	21	1	12	2	10	37	13	0	4	5	25	13	8	7	5	10	7	1	13	0	2	27	7	4	3	1	10	0	3	4	8	23	8	3	14	15	6	1	37	16	17	0	9	10	13	19	4	15	2	8	11	2	2	1	5	1	3	32	11	1	14	0	0	21	17	0	5	2	42	5	1	9	10	3	6	5	13	36	13	2	18	18	3	1	13	13	0	9	10	16	4	0	0	6	5	0	1	14	0	8	37	15	3	9	4	0	0	0	6	10	1	2	13	0	7	13	2	11	1	20	6	19	8	1	33	2	1	5	1	20	13	6	4	6	28	0	6	26	4	2	0	14	8	25	11	7	8	3	0	14	1	0	11	12	15	2	2	12	0	6	52	11	2	15	14	0	4	21	1	2	1	25	8	8	1	0	48	7	9	14	13	35	6	4	8	27	16	4	9	8	3	26	28	1	2	7	35	0	0	0	0	8	6	4	0	11	8	12	1	5	10	15	0	20	33
isyeli's	0	1	1	0	1	1	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	1	4	1	2	0	0	0	0	0	0	2	0	1	0	0	1	0	2	1	0	0	0	3	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	1	0	0	0	0	3	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	11	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	1	0	1	1	0	2	0	1	0	0	0	2	1	0	0	0	1	0	3	2	0	0	0	1	1	0	1	0	2	0	0	3	0	3	1	0	0	0	0	0	5	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	4	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	2	3	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	2	0	0	1	0	0	3	0	1	0	0	0	7	1	0	1	4	2	3	0	0	0	0	0	2	2	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	6	0	1	0	0	2	0	0	0	0	1	0	4	0	0	0	1	0	0	0	5	0	0	2	1	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2
But She's Not Stupid	10	0	14	23	26	5	7	13	1	6	48	39	15	12	27	1	2	43	12	1	15	2	25	16	18	7	24	8	5	9	20	10	29	16	8	4	0	2	18	15	46	20	0	15	2	17	1	3	0	55	41	1	0	35	4	124	19	16	1	0	18	7	4	12	9	8	9	0	9	35	11	0	5	3	2	0	32	16	26	23	5	2	13	1	0	9	0	0	4	0	39	43	7	38	0	0	0	0	6	1	11	0	0	8	46	27	0	37	0	10	12	0	18	0	29	3	0	18	0	5	11	36	23	7	32	22	1	9	18	18	31	31	0	0	4	0	15	14	4	22	4	14	5	14	111	4	1	9	12	5	0	2	13	1	11	15	8	4	35	7	12	22	6	0	41	6	1	5	33	6	2	5	1	1	61	33	8	4	4	28	25	4	4	2	8	17	5	7	9	1	29	2	0	3	9	8	5	9	30	38	12	9	38	4	9	13	13	1	22	36	8	3	3	17	1	17	28	32	23	20	7	25	4	5	2	0	2	16	17	6	8	4	6	12	4	23	7	5	6	12	3	9	4	19	10	2	3	12	2	8	7	15	98	3	8	13	4	18	5	32	3	8	19	17	13	4	28	38	2	4	23	7	14	1	0	12	19	0	33	1	12	1	31	4	1	37	15	7	5	0	11	1	2	1	17	10	8	0	11	14	22	4	17	2	5	29	19	4	7	12	9	11	0	7	4	25	15	7	0	1	0	0	9	2	29	15	7	20	8	5	5	6	19	10	2	7	19	3	2	7	0	2	0	10	7	4	1	23	1	29	4	32	8	0	4	78	22	11	4	10	3	13	0	33	17	13	3	0	1	7	20	4	52	1	3	18	28	25	34	7	2	0	0	0	5	1	6	18	11	19	28	5	21	7	13	23	13	19	12	5	12	21	7	2	4	20	2	14	7	11	8	9	8	5	7	8	10	24	6	8	1	35	26	4	0	10	32	25	2	13	8	6	5	22	53	18	8	6	0	19	4	11	4	10	7	4	19	42	15	3	21	8	2	19	0	29	2	11	10	1	7	1	0	19	1	13	2	19	19	16	2	3	3	6	2	14	10	2	3	0	13	9	50	149	9	7	7	2	11	1	1	21	3	19	29	20	15	16	12	23
